enotita$user$ap
-1$Αυτοτελές Γραφείο Τύπου και Δημοσίων και Διεθνών Σχέσεων$771
-1$Αυτοτελές Τμήμα Εσωτερικού Ελέγχου$118
-1$Αυτοτελές Τμήμα ΠΑΜ-ΠΣΕΑ$2
-1$Αυτοτελές Τμήμα Συλλογικών Οργάνων$346
-1$Αυτοτελής Διεύθυνση Πολιτικής Προστασίας$3580
-1$Αυτοτελής Διεύθυνση Υποστήριξης Καινοτομίας και Επιχειρηματικότητας$1334
-1$Γενική Διεύθυνση Ανάπτυξης$3
-1$Γενική Διεύθυνση Ανάπτυξης και Περιβάλλοντος$1629
-1$Γενική Διεύθυνση Δημόσιας Υγείας και Κοινωνικής Μέριμνας$955
-1$Γενική Διεύθυνση Εσωτερικής Οργάνωσης και Λειτουργίας$726
-1$Γενική Διεύθυνση Μεταφορών και Επικοινωνιών$460
-1$Γενική Διεύθυνση Προγραμματισμού και Υποδομών$1765
-1$Διεύθυνση Αγροτικής Οικονομίας$21
-1$Διεύθυνση Αγροτικής Οικονομίας και Αλιείας (ΠΚΜ)$1971
-1$Διεύθυνση Αναπτυξιακού Προγραμματισμού ΠΚΜ$120
-1$Διεύθυνση Ανθρώπινου Δυναμικού και Διαχείρισης Ποιότητας (ΠΚΜ)$7087
-1$Διεύθυνση Βιομηχανίας Ενέργειας και Φυσικών Πόρων$7
-1$Διεύθυνση Δημόσιας Υγείας$291
-1$Διεύθυνση Δημόσιας Υγείας και Κοινωνικής Μέριμνας (ΠΚΜ)$5186
-1$Διεύθυνση Δια Βίου Μάθησης, Απασχόλησης, Εμπορίου και Τουρισμού$8
-1$Διεύθυνση Διαφάνειας & Ηλεκτρονικής Διακυβέρνησης$97
-1$Διεύθυνση Διαφάνειας & Ηλεκτρονικής Διακυβέρνησης (ΠΚΜ)$2232
-1$Διεύθυνση Διοίκησης$315
-1$Διεύθυνση Εμπορίου και Απασχόλησης (ΠΚΜ)$1462
