"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"902224030735982594","https://twitter.com/tzitzikostas/status/902224030735982594","Συνέντευξη στο @MyPortalGR - ""Στόχος μου η Κεντρική Μακεδονία να είναι η πρώτη Περιφέρεια που θα βγει από την κρίση"" https://t.co/QqClKayD7q https://t.co/nKZKA9QWTS","2017-08-28 17:39 +0000","1466.0","81.0","0.05525238744884038","10.0","1.0","29.0","9.0","7.0","0.0","19.0","0.0","0","0","0","0","0","6","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"900300782326738945","https://twitter.com/tzitzikostas/status/900300782326738945","Καταβάλαμε την πρώτη δόση ύψους 27,5 εκ. € στους 2049 δικαιούχους του προγράμματος εγκατάστασης νέων γεωργών στην Περιφέρεια Κ.Μακεδονίας. https://t.co/FeJmBfqhjt","2017-08-23 10:16 +0000","1798.0","75.0","0.04171301446051168","12.0","2.0","34.0","9.0","0.0","0.0","14.0","0.0","0","0","0","0","0","4","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"897522471934537729","https://twitter.com/tzitzikostas/status/897522471934537729","Σ' αυτή την ξεχωριστή μέρα για την Ορθοδοξία μας, είχα την τιμή να βρεθώ στην Παναγία Σουμελά, την Παναγία των Ποντίων. Συγκίνηση και δέος! https://t.co/DaY7wuq5ZY","2017-08-15 18:16 +0000","1914.0","169.0","0.08829676071055381","6.0","1.0","40.0","6.0","12.0","0.0","10.0","0.0","0","0","0","0","0","94","94","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"894469649479471104","https://twitter.com/tzitzikostas/status/894469649479471104","Τώρα στην τηλεόραση του @skaigr και την εκπομπή ONline","2017-08-07 08:05 +0000","1463.0","21.0","0.014354066985645933","4.0","1.0","11.0","2.0","0.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"894334948282425345","https://twitter.com/tzitzikostas/status/894334948282425345","Μπράβο Κατερίνα!!! Μας έκανες πάλι υπερήφανους! Σήκωσες όλη την Ελλάδα ψηλά! #London2017 https://t.co/OvMMQspRpT","2017-08-06 23:10 +0000","1604.0","67.0","0.04177057356608479","7.0","1.0","43.0","5.0","0.0","1.0","2.0","0.0","0","0","0","0","0","8","8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
